Fecha,Hora,Divisa,Importancia,Evento,Actual,Prevision,Anterior
8 de diciembre de 2020",00:50,  JPY,,PIB (Trimestral) (3T),"5,3%","5,0%","-7,9%"
8 de diciembre de 2020",11:00,  EUR,,Índice ZEW de confianza inversora en Alemania (Dic),"55,0","45,5","39,0"
8 de diciembre de 2020",13:00,  USD,,Previsión energética a corto plazo de la EIA  , , , 
8 de diciembre de 2020",16:00,  USD,,Encuesta JOLTs de ofertas de empleo (Oct),"6,652M","6,300M","6,494M"
8 de diciembre de 2020",16:00,  CAD,,Decisión de tipos de interés,"0,25%","0,25%","0,25%"
8 de diciembre de 2020",16:30,  USD,,Inventarios de petróleo crudo de la AIE,"15,189M","-1,424M","-0,679M"
9 de diciembre de 2020",08:00,  GBP,,PIB (Mensual),"0,4%", ,"1,1%"
9 de diciembre de 2020",08:00,  GBP,,Producción manufacturera (Mensual) (Oct),"1,7%","0,3%","0,2%"
9 de diciembre de 2020",08:00,  GBP,,PIB mensual a 3M / Evolución a 3M,"10,2%", ,"15,5%"
9 de diciembre de 2020",11:00,  EUR,,Cumbre de líderes de la UE  , , , 
9 de diciembre de 2020",13:45,  EUR,,Tipo de la facilidad de depósito (Dic),"-0,50%","-0,50%","-0,50%"
9 de diciembre de 2020",13:45,  EUR,,Tipo de facilidad marginal de crédito del BCE,"0,25%", ,"0,25%"
9 de diciembre de 2020",13:45,  EUR,,Comunicado del BCE sobre política monetaria  , , , 
9 de diciembre de 2020",13:45,  EUR,,Decisión del BCE sobre tipos de interés (Dic),"0,00%","0,00%","0,00%"
9 de diciembre de 2020",14:30,  USD,,IPC subyacente (Mensual) (Nov),"0,2%","0,1%","0,2%"
9 de diciembre de 2020",14:30,  USD,,IPC (Mensual) (Nov),"0,2%","0,1%","0,2%"
9 de diciembre de 2020",14:30,  USD,,IPC (Anual) (Nov),"1,2%","1,1%","1,2%"
9 de diciembre de 2020",14:30,  USD,,Nuevas peticiones de subsidio por desempleo,853K,725K,716K
9 de diciembre de 2020",14:30,  EUR,,Rueda de prensa del BCE  , , , 
10 de diciembre de 2020",08:00,  EUR,,IPC de Alemania (Anual) (Nov),"-0,3%","-0,3%","-0,2%"
10 de diciembre de 2020",09:30,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
10 de diciembre de 2020",11:00,  EUR,,Cumbre de líderes de la UE  , , , 
10 de diciembre de 2020",14:30,  USD,,IPP (Mensual) (Nov),"0,1%","0,2%","0,3%"
11 de diciembre de 2020",00:50,  JPY,,Encuesta Tankan: grandes empresas manufactureras (4T),-10,-15,-27
11 de diciembre de 2020",00:50,  JPY,,Encuesta Tankan: grandes empresas no manufactureras (4T),-5,-6,-12
11 de diciembre de 2020",01:30,  AUD,,Actas de la reunión de política monetaria del Banco de la Reserva de Australia  , , , 
11 de diciembre de 2020",03:00,  CNY,,Índice de Producción Industrial (Anual) (Nov),"7,0%","7,0%","6,9%"
11 de diciembre de 2020",08:00,  GBP,,"Ingresos medios de los trabajadores, bonus incluidos (Oct)","2,7%","2,2%","1,3%"
11 de diciembre de 2020",08:00,  GBP,,Evolución del desempleo (Nov),"64,3K","50,0K","-29,8K"
11 de diciembre de 2020",12:00,  BRL,,Actas de la reunión del CMP del Banco Central de Brasil  , , , 
14 de diciembre de 2020",08:00,  GBP,,IPC (Anual) (Nov),"0,3%","0,6%","0,7%"
14 de diciembre de 2020",09:30,  EUR,,PMI manufacturero de Alemania (Dic)  ,"58,6","56,4","57,8"
14 de diciembre de 2020",10:30,  GBP,,PMI compuesto  ,"50,7","51,3","49,0"
14 de diciembre de 2020",10:30,  GBP,,PMI manufacturero  ,"57,3","55,9","55,6"
14 de diciembre de 2020",10:30,  GBP,,PMI de servicios  ,"49,9","50,5","47,6"
14 de diciembre de 2020",14:30,  USD,,Ventas minoristas subyacentes (Mensual) (Nov),"-0,9%","0,1%","-0,1%"
14 de diciembre de 2020",14:30,  USD,,Ventas minoristas (Mensual) (Nov),"-1,1%","-0,3%","-0,1%"
14 de diciembre de 2020",14:30,  CAD,,IPC subyacente (Mensual) (Nov),"0,2%", ,"0,4%"
14 de diciembre de 2020",16:30,  USD,,Inventarios de petróleo crudo de la AIE,"-3,135M","-1,937M","15,189M"
14 de diciembre de 2020",20:00,  USD,,Proyecciones económicas del FOMC  , , , 
14 de diciembre de 2020",20:00,  USD,,Comunicado del FOMC  , , , 
14 de diciembre de 2020",20:00,  USD,,Decisión de tipos de interés,"0,25%","0,25%","0,25%"
14 de diciembre de 2020",20:30,  USD,,Rueda de prensa del FOMC  , , , 
14 de diciembre de 2020",22:45,  NZD,,PIB (Trimestral) (3T),"14,0%","13,5%","-11,0%"
15 de diciembre de 2020",01:30,  AUD,,Cambio del empleo (Nov),"90,0K","50,0K","178,8K"
15 de diciembre de 2020",09:30,  CHF,,Decisión de tipos de interés,"-0,75%","-0,75%","-0,75%"
15 de diciembre de 2020",09:30,  CHF,,Evaluación de política monetaria del SNB  , , , 
15 de diciembre de 2020",10:00,  CHF,,Rueda de prensa del SNB  , , , 
15 de diciembre de 2020",11:00,  EUR,,IPC en la zona euro (Anual) (Nov),"-0,3%","-0,3%","-0,3%"
15 de diciembre de 2020",13:00,  GBP,,Decisión de tipos de interés (Dic),"0,10%","0,10%","0,10%"
15 de diciembre de 2020",14:30,  USD,,Permisos de construcción (Nov),"1,639M","1,550M","1,544M"
15 de diciembre de 2020",14:30,  USD,,Nuevas peticiones de subsidio por desempleo,885K,800K,862K
15 de diciembre de 2020",14:30,  USD,,Índice manufacturero de la Fed de Filadelfia (Dic),"11,1","20,0","26,3"
16 de diciembre de 2020",04:00,  JPY,,Declaraciones de política monetaria del BoJ  , , , 
16 de diciembre de 2020",04:00,  JPY,,Rueda de prensa del Banco de Japón  , , , 
16 de diciembre de 2020",08:00,  GBP,,Ventas minoristas (Mensual) (Nov),"-3,8%","-4,2%","1,3%"
16 de diciembre de 2020",10:00,  EUR,,Índice Ifo de confianza empresarial en Alemania (Dic),"92,1","90,0","90,9"
16 de diciembre de 2020",14:30,  CAD,,Ventas minoristas subyacentes (Mensual) (Oct),"0,0%","0,2%","1,0%"
17 de diciembre de 2020",01:30,  AUD,,Previsiones económicas y fiscales de mitad de año  , , , 
17 de diciembre de 2020",02:30,  CNY,,Tasa de préstamo preferencial del PBoC,"3,85%","3,85%","3,85%"
18 de diciembre de 2020",01:30,  AUD,,Ventas minoristas (Mensual)  ,"7,0%","-0,6%","1,4%"
18 de diciembre de 2020",08:00,  GBP,,PIB (Trimestral) (3T),"16,0%","15,5%","-19,8%"
18 de diciembre de 2020",08:00,  GBP,,PIB (Anual) (3T),"-8,6%","-9,6%","-21,5%"
18 de diciembre de 2020",14:30,  USD,,PIB (Trimestral) (3T),"33,4%","33,1%","33,1%"
18 de diciembre de 2020",16:00,  USD,,Confianza del consumidor de The Conference Board (Dic),"88,6","97,0","92,9"
18 de diciembre de 2020",16:00,  USD,,Ventas de viviendas de segunda mano (Nov),"6,69M","6,70M","6,86M"
21 de diciembre de 2020",14:30,  USD,,Pedidos de bienes duraderos (subyacente) (Mensual) (Nov),"0,4%","0,5%","1,9%"
21 de diciembre de 2020",14:30,  USD,,Precios del gasto en consumo personal subyacente (Mensual) (Nov),"0,0%","0,1%","0,2%"
21 de diciembre de 2020",14:30,  USD,,Nuevas peticiones de subsidio por desempleo,803K,885K,892K
21 de diciembre de 2020",14:30,  CAD,,PIB (Mensual) (Oct),"0,4%","0,3%","0,8%"
21 de diciembre de 2020",16:00,  USD,,Ventas de viviendas nuevas (Nov),841K,995K,945K
21 de diciembre de 2020",16:30,  USD,,Inventarios de petróleo crudo de la AIE,"-0,562M","-3,186M","-3,135M"
28 de diciembre de 2020",16:00,  USD,,Venta de viviendas pendientes (Mensual) (Nov),"-2,6%","0,2%","-0,9%"
28 de diciembre de 2020",16:30,  USD,,Inventarios de petróleo crudo de la AIE,"-6,065M","-2,583M","-0,562M"
30 de diciembre de 2020",02:00,  CNY,,PMI manufacturero (Dic),"51,9","52,0","52,1"
30 de diciembre de 2020",14:30,  USD,,Nuevas peticiones de subsidio por desempleo,787K,833K,806K
31 de diciembre de 2020",02:45,  CNY,,PMI manufacturero de Caixin (Dic),"53,0","54,8","54,9"
31 de diciembre de 2020",09:55,  EUR,,PMI manufacturero de Alemania (Dic),"58,3","58,6","58,6"
31 de diciembre de 2020",10:30,  GBP,,PMI manufacturero (Dic),"57,5","57,3","55,6"
1 de enero de 2021",09:55,  EUR,,Cambio del desempleo en Alemania (Dic),-37K,10K,-40K
1 de enero de 2021",16:00,  USD,,PMI manufacturero del ISM (Dic),"60,7","56,6","57,5"
2 de enero de 2021",10:30,  GBP,,PMI compuesto (Dic),"50,4","50,7","49,0"
2 de enero de 2021",10:30,  GBP,,PMI de servicios (Dic),"49,4","49,9","47,6"
2 de enero de 2021",14:00,  EUR,,IPC de Alemania (Anual) (Dic)  ,"-0,3%","-0,3%","-0,3%"
2 de enero de 2021",14:15,  USD,,Cambio del empleo no agrícola ADP (Dic),-123K,88K,304K
2 de enero de 2021",15:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
2 de enero de 2021",16:30,  USD,,Inventarios de petróleo crudo de la AIE,"-8,010M","-2,133M","-6,065M"
2 de enero de 2021",20:00,  USD,,Actas de la reunión del FOMC  , , , 
3 de enero de 2021",10:30,  GBP,,PMI del sector de la construcción (Dic),"54,6","55,0","54,7"
3 de enero de 2021",11:00,  EUR,,IPC en la zona euro (Anual) (Dic)  ,"-0,3%","-0,2%","-0,3%"
3 de enero de 2021",13:30,  EUR,,Comunicado del BCE sobre política monetaria  , , , 
3 de enero de 2021",14:30,  USD,,Nuevas peticiones de subsidio por desempleo,787K,800K,790K
3 de enero de 2021",16:00,  USD,,PMI no manufacturero del ISM (Dic),"57,2","54,6","55,9"
3 de enero de 2021",16:00,  CAD,,PMI de Ivey (Dic),"46,7","54,7","52,7"
4 de enero de 2021",14:30,  USD,,Nóminas no agrícolas (Dic),-140K,71K,336K
4 de enero de 2021",14:30,  USD,,Tasa de desempleo (Dic),"6,7%","6,8%","6,7%"
4 de enero de 2021",14:30,  CAD,,Cambio del empleo (Dic),"-62,6K","-27,5K","62,1K"
5 de enero de 2021",01:30,  AUD,,Ventas minoristas (Mensual) (Nov),"7,1%","7,0%","1,4%"
5 de enero de 2021",15:40,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
6 de enero de 2021",13:00,  USD,,Previsión energética a corto plazo de la EIA  , , , 
6 de enero de 2021",16:00,  USD,,Encuesta JOLTs de ofertas de empleo (Nov),"6,527M", ,"6,632M"
7 de enero de 2021",10:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
7 de enero de 2021",14:30,  USD,,IPC subyacente (Mensual) (Dic),"0,1%","0,1%","0,2%"
7 de enero de 2021",14:30,  USD,,IPC (Mensual) (Dic),"0,4%","0,4%","0,2%"
7 de enero de 2021",14:30,  USD,,IPC (Anual) (Dic),"1,4%","1,3%","1,2%"
7 de enero de 2021",16:30,  USD,,Inventarios de petróleo crudo de la AIE,"-3,247M","-2,266M","-8,010M"
8 de enero de 2021",13:30,  EUR,,Comunicado del BCE sobre política monetaria  , , , 
8 de enero de 2021",14:30,  USD,,Nuevas peticiones de subsidio por desempleo,965K,795K,784K
8 de enero de 2021",18:30,  USD,,"Declaraciones Powell, presidente de la Fed  ", , , 
11 de enero de 2021",01:15,  USD,,"Discurso de Joe Biden, presidente de EE.UU.  ", , , 
11 de enero de 2021",08:00,  GBP,,PIB (Mensual),"-2,6%", ,"0,4%"
11 de enero de 2021",08:00,  GBP,,Producción manufacturera (Mensual) (Nov),"0,7%","0,9%","1,6%"
11 de enero de 2021",08:00,  GBP,,PIB mensual a 3M / Evolución a 3M,"4,1%", ,"10,2%"
11 de enero de 2021",14:30,  USD,,Ventas minoristas subyacentes (Mensual) (Dic),"-1,4%","-0,1%","-1,3%"
11 de enero de 2021",14:30,  USD,,IPP (Mensual) (Dic),"0,3%","0,4%","0,1%"
11 de enero de 2021",14:30,  USD,,Ventas minoristas (Mensual) (Dic),"-0,7%","-0,2%","-1,4%"
12 de enero de 2021",03:00,  CNY,,PIB (Anual) (4T),"6,5%","6,1%","4,9%"
12 de enero de 2021",03:00,  CNY,,Índice de Producción Industrial (Anual) (Dic),"7,3%","6,9%","7,0%"
12 de enero de 2021",Aprox.,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
13 de enero de 2021",14:30,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
14 de enero de 2021",08:00,  EUR,,IPC de Alemania (Anual) (Dic),"-0,3%","-0,3%","-0,3%"
14 de enero de 2021",11:00,  EUR,,Índice ZEW de confianza inversora en Alemania (Ene),"61,8","60,0","55,0"
15 de enero de 2021",02:30,  CNY,,Tasa de préstamo preferencial del PBoC,"3,85%", ,"3,85%"
15 de enero de 2021",08:00,  GBP,,IPC (Anual) (Dic),"0,6%","0,5%","0,3%"
15 de enero de 2021",11:00,  EUR,,IPC en la zona euro (Anual) (Dic),"-0,3%","-0,3%","-0,3%"
15 de enero de 2021",14:30,  CAD,,IPC subyacente (Mensual) (Dic),"-0,4%", ,"0,2%"
15 de enero de 2021",16:00,  CAD,,Informe de política monetaria del Banco de Canadá  , , , 
15 de enero de 2021",16:00,  CAD,,Decisión de tipos de interés,"0,25%","0,25%","0,25%"
15 de enero de 2021",17:00,  CAD,,Rueda de prensa Banco de Canadá  , , , 
15 de enero de 2021",Aprox.,  USD,,"Discurso de Joe Biden, presidente de EE.UU.  ", , , 
18 de enero de 2021",18:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
19 de enero de 2021",01:30,  AUD,,Cambio del empleo (Dic),"50,0K","50,0K","90,0K"
19 de enero de 2021",04:00,  JPY,,Declaraciones de política monetaria del BoJ  , , , 
19 de enero de 2021",04:00,  JPY,,Perspectivas económicas del BoJ (Anual)  , , , 
19 de enero de 2021",04:00,  JPY,,Rueda de prensa del Banco de Japón  , , , 
19 de enero de 2021",13:45,  EUR,,Tipo de la facilidad de depósito (Ene),"-0,50%","-0,50%","-0,50%"
19 de enero de 2021",13:45,  EUR,,Tipo de facilidad marginal de crédito del BCE,"0,25%", ,"0,25%"
19 de enero de 2021",13:45,  EUR,,Decisión del BCE sobre tipos de interés (Ene),"0,00%","0,00%","0,00%"
19 de enero de 2021",14:30,  USD,,Permisos de construcción (Dic),"1,709M","1,604M","1,635M"
19 de enero de 2021",14:30,  USD,,Nuevas peticiones de subsidio por desempleo,900K,910K,926K
19 de enero de 2021",14:30,  USD,,Índice manufacturero de la Fed de Filadelfia (Ene),"26,5","12,0","9,1"
19 de enero de 2021",14:30,  EUR,,Rueda de prensa del BCE  , , , 
19 de enero de 2021",22:45,  NZD,,IPC (Trimestral) (4T),"0,5%","0,1%","0,7%"
20 de enero de 2021",01:30,  AUD,,Ventas minoristas (Mensual)  ,"-4,2%", ,"7,1%"
20 de enero de 2021",08:00,  GBP,,Ventas minoristas (Mensual) (Dic),"0,3%","1,2%","-4,1%"
20 de enero de 2021",09:30,  EUR,,PMI manufacturero de Alemania (Ene)  ,"57,0","57,5","58,3"
20 de enero de 2021",10:30,  GBP,,PMI compuesto (Ene)  ,"40,6","50,7","50,4"
20 de enero de 2021",10:30,  GBP,,PMI manufacturero (Ene)  ,"52,9","57,3","57,5"
20 de enero de 2021",10:30,  GBP,,PMI de servicios (Ene)  ,"38,8","49,9","49,4"
20 de enero de 2021",14:30,  CAD,,Ventas minoristas subyacentes (Mensual) (Nov),"2,1%","0,3%","1,0%"
20 de enero de 2021",16:00,  USD,,Ventas de viviendas de segunda mano (Dic),"6,76M","6,55M","6,71M"
20 de enero de 2021",17:00,  USD,,Inventarios de petróleo crudo de la AIE,"4,351M","-1,167M","-3,247M"
21 de enero de 2021",09:45,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
21 de enero de 2021",10:00,  EUR,,Índice Ifo de confianza empresarial en Alemania (Ene),"90,1","91,8","92,2"
21 de enero de 2021",17:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
21 de enero de 2021",18:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
22 de enero de 2021",08:00,  GBP,,"Ingresos medios de los trabajadores, bonus incluidos (Nov)","3,6%","2,9%","2,8%"
22 de enero de 2021",08:00,  GBP,,Evolución del desempleo (Dic),"7,0K","35,0K","38,1K"
22 de enero de 2021",12:00,  BRL,,Actas de la reunión del CMP del Banco Central de Brasil  , , , 
22 de enero de 2021",16:00,  USD,,Confianza del consumidor de The Conference Board (Ene),"89,3","89,0","87,1"
25 de enero de 2021",01:30,  AUD,,IPC (Trimestral) (4T),"0,9%","0,7%","1,6%"
25 de enero de 2021",14:30,  USD,,Pedidos de bienes duraderos (subyacente) (Mensual) (Dic),"0,7%","0,5%","0,8%"
25 de enero de 2021",16:30,  USD,,Inventarios de petróleo crudo de la AIE,"-9,910M","0,430M","4,351M"
25 de enero de 2021",20:00,  USD,,Comunicado del FOMC  , , , 
25 de enero de 2021",20:00,  USD,,Decisión de tipos de interés,"0,25%","0,25%","0,25%"
25 de enero de 2021",20:30,  USD,,Rueda de prensa del FOMC  , , , 
28 de enero de 2021",01:30,  AUD,,IPC (Trimestral) (4T),"0,9%","0,7%","1,6%"
28 de enero de 2021",14:30,  USD,,Pedidos de bienes duraderos (subyacente) (Mensual) (Dic),"0,7%","0,5%","0,8%"
28 de enero de 2021",16:30,  USD,,Inventarios de petróleo crudo de la AIE,"-9,910M","0,430M","4,351M"
28 de enero de 2021",20:00,  USD,,Comunicado del FOMC  , , , 
28 de enero de 2021",20:00,  USD,,Decisión de tipos de interés,"0,25%","0,25%","0,25%"
28 de enero de 2021",20:30,  USD,,Rueda de prensa del FOMC  , , , 
29 de enero de 2021",14:00,  EUR,,IPC de Alemania (Anual) (Ene)  ,"1,0%","0,7%","-0,3%"
29 de enero de 2021",14:30,  USD,,PIB (Trimestral) (4T)  ,"4,0%","4,0%","33,4%"
29 de enero de 2021",14:30,  USD,,Nuevas peticiones de subsidio por desempleo,847K,875K,914K
29 de enero de 2021",16:00,  USD,,Ventas de viviendas nuevas (Dic),842K,865K,829K
31 de enero de 2021",09:55,  EUR,,Cambio del desempleo en Alemania (Ene),-41K,6K,-40K
31 de enero de 2021",10:00,  EUR,,PIB de Alemania (Trimestral) (4T)  ,"0,1%", ,"8,5%"
31 de enero de 2021",14:30,  USD,,Precios del gasto en consumo personal subyacente (Mensual) (Dic),"0,3%","0,1%", 
31 de enero de 2021",14:30,  CAD,,PIB (Mensual) (Nov),"0,7%","0,4%","0,4%"
31 de enero de 2021",16:00,  USD,,Venta de viviendas pendientes (Mensual) (Dic),"-0,3%","-0,1%","-2,5%"
1 de febrero de 2021",02:00,  CNY,,PMI manufacturero (Ene),"51,3","51,6","51,9"
1 de febrero de 2021",02:45,  CNY,,PMI manufacturero de Caixin (Ene),"51,5","52,7","53,0"
1 de febrero de 2021",09:55,  EUR,,PMI manufacturero de Alemania (Ene),"57,1","57,0","58,3"
1 de febrero de 2021",10:30,  GBP,,PMI manufacturero (Ene),"54,1","52,9","52,9"
1 de febrero de 2021",16:00,  USD,,PMI manufacturero del ISM (Ene),"58,7","60,0","60,5"
2 de febrero de 2021",04:30,  AUD,,Decisión de tipos de interés (Ene),"0,10%","0,10%","0,10%"
2 de febrero de 2021",04:30,  AUD,,Comunicado sobre tipos del RBA  , , , 
2 de febrero de 2021",22:45,  NZD,,Evolución del empleo (Trimestral) (4T),"0,6%","-0,8%","-0,8%"
3 de febrero de 2021",09:00,  EUR,,Comunicado del BCE sobre política monetaria  , , , 
3 de febrero de 2021",10:30,  GBP,,PMI compuesto (Ene),"41,2","40,6","40,6"
3 de febrero de 2021",10:30,  GBP,,PMI de servicios (Ene),"39,5","38,8","38,8"
3 de febrero de 2021",11:00,  EUR,,IPC en la zona euro (Anual) (Ene)  ,"0,9%","0,5%","-0,3%"
3 de febrero de 2021",14:15,  USD,,Cambio del empleo no agrícola ADP (Ene),174K,49K,-78K
3 de febrero de 2021",16:00,  USD,,PMI no manufacturero del ISM (Ene),"58,7","56,8","57,7"
3 de febrero de 2021",16:30,  USD,,Inventarios de petróleo crudo de la AIE,"-0,994M","0,446M","-9,910M"
4 de febrero de 2021",10:30,  GBP,,PMI del sector de la construcción (Ene),"49,2","52,9","54,6"
4 de febrero de 2021",13:00,  GBP,,Informe del Banco de Inglaterra sobre inflación  , , , 
4 de febrero de 2021",13:00,  GBP,,Decisión de tipos de interés (Feb),"0,10%","0,10%","0,10%"
4 de febrero de 2021",13:00,  GBP,,Actas de la reunión de política monetaria del Banco de Inglaterra  , , , 
4 de febrero de 2021",13:30,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
4 de febrero de 2021",14:30,  USD,,Nuevas peticiones de subsidio por desempleo,779K,830K,812K
5 de febrero de 2021",01:30,  AUD,,Ventas minoristas (Mensual) (Dic),"-4,1%", ,"-4,2%"
5 de febrero de 2021",05:30,  INR,,Decisión de tipos de interés,"4,00%","4,00%","4,00%"
5 de febrero de 2021",14:30,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
5 de febrero de 2021",14:30,  USD,,Nóminas no agrícolas (Ene),49K,50K,-227K
5 de febrero de 2021",14:30,  USD,,Tasa de desempleo (Ene),"6,3%","6,7%","6,7%"
5 de febrero de 2021",14:30,  CAD,,Cambio del empleo (Ene),"-212,8K","-47,5K","-68,2K"
5 de febrero de 2021",16:00,  CAD,,PMI de Ivey (Ene),"48,4", ,"46,7"
5 de febrero de 2021",16:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
5 de febrero de 2021",17:15,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
8 de febrero de 2021",13:00,  USD,,Previsión energética a corto plazo de la EIA  , , , 
8 de febrero de 2021",16:00,  USD,,Encuesta JOLTs de ofertas de empleo (Dic),"6,646M","6,500M","6,572M"
9 de febrero de 2021",08:00,  EUR,,IPC de Alemania (Anual) (Ene),"1,0%","1,0%","-0,3%"
9 de febrero de 2021",14:00,  EUR,,"Comparecencia de Lagarde, presidenta del BCE  ", , , 
9 de febrero de 2021",14:30,  USD,,IPC subyacente (Mensual) (Ene),"0,0%","0,2%","0,1%"
9 de febrero de 2021",14:30,  USD,,IPC (Mensual) (Ene),"0,3%","0,3%","0,2%"
9 de febrero de 2021",14:30,  USD,,IPC (Anual) (Ene),"1,4%","1,5%","1,3%"
9 de febrero de 2021",16:30,  USD,,Inventarios de petróleo crudo de la AIE,"-6,644M","0,985M","-0,994M"
9 de febrero de 2021",18:00,  GBP,,Comparecencia del gob Bailey del BoE  , , , 
9 de febrero de 2021",20:00,  USD,,"Declaraciones Powell, presidente de la Fed  ", , , 
10 de febrero de 2021",14:30,  USD,,Nuevas peticiones de subsidio por desempleo,793K,757K,812K
11 de febrero de 2021",08:00,  GBP,,PIB (Anual) (4T)  ,"-7,8%","-8,1%","-8,7%"
11 de febrero de 2021",08:00,  GBP,,PIB (Trimestral) (4T)  ,"1,0%","0,5%","16,1%"
11 de febrero de 2021",08:00,  GBP,,PIB (Mensual),"1,2%", ,"-2,3%"
11 de febrero de 2021",08:00,  GBP,,Producción manufacturera (Mensual) (Dic),"0,3%","0,6%","1,1%"
11 de febrero de 2021",08:00,  GBP,,PIB mensual a 3M / Evolución a 3M,"1,0%", ,"4,1%"
12 de febrero de 2021",00:50,  JPY,,PIB (Trimestral) (4T)  ,"3,0%","2,3%","5,3%"
12 de febrero de 2021",01:30,  AUD,,Actas de la reunión de política monetaria del Banco de la Reserva de Australia  , , , 
12 de febrero de 2021",11:00,  EUR,,Índice ZEW de confianza inversora en Alemania (Feb),"71,2","59,6","61,8"
15 de febrero de 2021",08:00,  GBP,,IPC (Anual) (Ene),"0,7%","0,6%","0,6%"
15 de febrero de 2021",09:00,  EUR,,Comunicado del BCE sobre política monetaria  , , , 
15 de febrero de 2021",14:30,  USD,,Ventas minoristas subyacentes (Mensual) (Ene),"5,9%","1,0%","-1,8%"
15 de febrero de 2021",14:30,  USD,,IPP (Mensual) (Ene),"1,3%","0,4%","0,3%"
15 de febrero de 2021",14:30,  USD,,Ventas minoristas (Mensual) (Ene),"5,3%","1,1%","-1,0%"
15 de febrero de 2021",14:30,  CAD,,IPC subyacente (Mensual) (Ene),"0,5%", ,"-0,4%"
15 de febrero de 2021",20:00,  USD,,Actas de la reunión del FOMC  , , , 
